title,price,location,date,size,price_pm,negotiable
3 pok - Metro Służew - Park Służew Nad Dolinką,990000,Warszawa Mokotów , 16 stycznia 2024,57 , 17368.42 ,False
Sprzedam mieszkanie z ogrodem Saska Kępa - Gocław,1252900,Warszawa Praga Południe , 27 stycznia 2024,67 , 18700 ,True
mieszkanie przy metrze targówek 206m2,2600000,Warszawa Targówek , 20 grudnia 2023,206 , 12621.36 ,False
Mieszkanie dwupokojowe Warszawa ul. Korkowa z garażem bezpośrednio,800000,Warszawa Rembertów , 27 stycznia 2024,53.31 , 15006.57 ,False
M4 7152m2 2017 KORONA PRAGI garaż dwie łazienki,1199000,Warszawa Praga Południe , 27 stycznia 2024,71.52 , 16764.54 ,False
4-pok mieszkanie na Gocławiu / b. Saska Kępa,1500000,Warszawa Praga Południe , 27 stycznia 2024,77 , 19480.52 ,False
M2 Mieszkanie Warszawa Włochy bezpośrednio,739000,Warszawa Włochy , 27 stycznia 2024,42.39 , 17433.36 ,False
Sprzedam mieszkanie 31m wysoki standard Rondo Wiatraczna,605000,Warszawa Praga Południe , 27 stycznia 2024,31 , 19516.13 ,False
Bezpośrednio przy metrze Stokłosy z wyposażeniem,1400000,Warszawa Ursynów , 27 stycznia 2024,77.67 , 18024.98 ,False
Cztery pokoje wspaniały rozkład super lokalizacja,799000,Warszawa Bielany , 27 stycznia 2024,73 , 10945.21 ,False
2 pokoje z balkonem garażem i komórką.,745000,Warszawa Praga Południe , 27 stycznia 2024,51.95 , 14340.71 ,False
Mieszkanie dwupokojowe na Grochowie,695000,Warszawa Mokotów , 27 stycznia 2024,42 , 16547.62 ,False
sprzedam mieszkanie Warszawa Białołęka,890000,Warszawa Białołęka , 27 stycznia 2024,55.41 , 16062.08 ,True
2-pokoje z garderobą blisko Metro Ratusz Bemowo,945000,Warszawa Bemowo ,Dzisiaj,54 , 17500 ,True
Stylowe 2 pokoje Saska Kępa,799000,Warszawa Praga Południe ,Dzisiaj,45 , 17755.56 ,False
Sprzedam mieszkanie w Warszawie,750000,Warszawa Targówek , 21 stycznia 2024,46 , 16304.35 ,False
Ostoja Wilanów 5 pokoi parter z ogród. na dwie strony świata park,1749000,Warszawa Wilanów , 27 stycznia 2024,104 , 16817.31 ,False
Okazja!! duży balkon | meble + wyposażenie +2garaż,700000,Warszawa Białołęka , 27 stycznia 2024,51.89 , 13490.08 ,False
kawalerka/ogródek/ idealne pod inwestycję,620000,Warszawa Wilanów , 27 stycznia 2024,31.96 , 19399.25 ,False
Najlepsza Część Wilanowa Królewskiego,799000,Warszawa Wilanów , 27 stycznia 2024,41 , 19487.8 ,False
bez prowizji/ olbrzymi taras/ metro/ 5 pokoi,2557590,Warszawa Mokotów , 27 stycznia 2024,121.79 , 21000 ,False
widok na park/ 3 pokoje/Ostoja Wilanów,1480000,Warszawa Wilanów , 27 stycznia 2024,65.60 , 22560.98 ,False
Do sprzedania 4pok.z tarasami-Miasteczko Wilanów,2230000,Warszawa Wilanów , 27 stycznia 2024,105.60 , 21117.42 ,False
Mieszkanie 355m2  2 pok + kuchnia Metro Wierzbno Mokotów,699000,Warszawa Mokotów , 27 stycznia 2024,35.50 , 19690.14 ,False
bez prowizji/ olbrzymi taras/ metro/ 5 pokoi,2557590,Warszawa Mokotów , 27 stycznia 2024,121.79 , 21000 ,False
W pełni wyposażone mieszkanie Metro Ulrychów.,1605000,Warszawa Wola , 27 stycznia 2024,79 , 20316.46 ,False
Mieszkanie 38m²⭐Ogródek 40m²⭐Parking⭐Budynek 2018,645000,Warszawa Ursus ,Dzisiaj,38 , 16973.68 ,False
Unikatowy Penthause przy Głebockiej w Warszawie!!!,1800000,Warszawa Targówek , 11 stycznia 2024,116.59 , 15438.72 ,False
LUX 2 pokoje Lwowska 1 PL. POLITECHNIKI METRO!,917000,Warszawa Śródmieście , 26 stycznia 2024,34 , 26970.59 ,False
Trzy pokoje / Blisko UM / Dobry rozkład,690000,Warszawa Ochota , 27 stycznia 2024,43.28 , 15942.7 ,False
⭐️ Kawalerka - Do remontu - Piwnica ⭐️,500000,Warszawa Wola , 27 stycznia 2024,30.10 , 16611.3 ,False
Nowa kawalerka 2553 m2 z balkonem Białołęka ul. Dionizosa 6 cesja,390000,Warszawa Białołęka , 27 stycznia 2024,25.53 , 15276.15 ,False
SUPER lokalizacja Łucka 81m,1600000,Warszawa Wola , 27 stycznia 2024,81 , 19753.09 ,True
Śliczna cicha kawalerka,470000,Warszawa Żoliborz , 27 stycznia 2024,22.80 , 20614.04 ,False
3 pokoje w Śródmieściu przy pl.Bankowym,1150000,Warszawa Śródmieście , 27 stycznia 2024,61.69 , 18641.6 ,False
Sprzedam mieszkanie na Białołęce ul. Berensona 10d,830000,Warszawa Białołęka , 27 stycznia 2024,58.15 , 14273.43 ,False
Ostatnie piętro z dużym tarasem i balkonem,1399000,Warszawa Wola , 27 stycznia 2024,62.65 , 22330.41 ,False
Mieszkanie Warszawa-Powiśle,1300000,Warszawa Śródmieście , 27 stycznia 2024,63.64 , 20427.4 ,False
Dwa pokoje Praga Północ Świetna Lokalizacja!,620000,Warszawa Praga Północ , 27 stycznia 2024,37.50 , 16533.33 ,False
Ostoja Wilanów 5 pokoi parter z ogród. na dwie strony świata park,1749000,Warszawa Wilanów , 27 stycznia 2024,104 , 16817.31 ,False
Mieszkanie trzypokojowe Bemowo,970000,Warszawa Bemowo , 09 stycznia 2024,69.20 , 14017.34 ,True
3 pokoje/Blisko metra/Po remoncie,749000,Warszawa Bielany , 25 stycznia 2024,42.14 , 17774.09 ,False
Odbiór luty 2024/ PIĘTRO 8/ 2 Pokoje/ BEZPOŚREDNIO,600000,Warszawa Ursus , 27 stycznia 2024,40 , 15000 ,True
Okazja- pod inwestycje 2 osobne pokoje,479000,Warszawa Ursus , 27 stycznia 2024,38 , 12605.26 ,False
Blisko metra do wprowadzenia. Klimatyzacja !,790000,Warszawa Targówek , 27 stycznia 2024,60 , 13166.67 ,False
Przytulne mieszkanie 2 pokojowe,650000,Warszawa Bemowo , 27 stycznia 2024,44.50 , 14606.74 ,True
Przytulne mieszkanie 2 pokojowe,650000,Warszawa Bemowo , 27 stycznia 2024,44.50 , 14606.74 ,False
Bemowo. Mieszkanie dwupokojowe tuż obok metra.,740000,Warszawa Bemowo , 27 stycznia 2024,46.77 , 15822.11 ,False
Nowe / Ciche / Promocyjna cena do końca miesiąca!,813999,Warszawa Bielany , 27 stycznia 2024,52.10 , 15623.78 ,False
**Nowe mieszkanie 2 pokoje wykończone pod klucz**,699000,Warszawa Ursynów , 27 stycznia 2024,41.72 , 16754.55 ,False
Apartament z tarasem i ogrodem na sprzedaż,1690000,Warszawa Wilanów , 27 stycznia 2024,90 , 18777.78 ,False
Pasaż Abrahama | nowe mieszkanie M10,1219000,Warszawa Praga Południe , 27 stycznia 2024,95 , 12831.58 ,False
⭐M2 ⭐2 Pokoje ⭐Wola - Mirów⭐,615000,Warszawa Wola , 27 stycznia 2024,27 , 22777.78 ,False
Okazja!! duży balkon | meble + wyposażenie +2garaż,700000,Warszawa Białołęka , 27 stycznia 2024,51.89 , 13490.08 ,False
3- pokojowa oaza spokoju w sercu Starego Mokotowa,895000,Warszawa Mokotów ,Dzisiaj,50.50 , 17722.77 ,False
2-pokoje 3353 m2 + METRO |ul. Tużycka 8,471000,Warszawa Targówek , 24 stycznia 2024,33.53 , 14047.12 ,False
Dwupoziomowy apartament na Mokotowie,1990000,Warszawa Mokotów , 24 stycznia 2024,115 , 17304.35 ,False
Kawalerka Warszawa Wola na sprzedaż,499000,Warszawa Wola , 24 stycznia 2024,25 , 19960 ,False
Mieszkanie 2 pokoje Warszawa Wola,800000,Warszawa Wola , 24 stycznia 2024,38 , 21052.63 ,False
Warszawa-Białołęka-Oddane Do Użytkowania,460000,Warszawa Białołęka , 24 stycznia 2024,26.16 , 17584.1 ,False
bezpośrednio 650m metro pl. Wilsona 2 pokoje,650000,Warszawa Żoliborz , 24 stycznia 2024,35 , 18571.43 ,False
Pańska przy Rondzie ONZ 38 m (metro),708750,Warszawa Wola , 24 stycznia 2024,37.50 , 18900 ,True
Bezpośrednio 3p+kuchnia balkon 65m 2xGaraz+boks,1148000,Warszawa Mokotów , 24 stycznia 2024,67.18 , 17088.42 ,False
Okazja !!! 3 pokoje bezpośrednio Grochowska,634800,Warszawa Praga Południe , 24 stycznia 2024,46 , 13800 ,False
Mokotów Górny - 964m - 4 pokoje - taras 16m,1630000,Warszawa Mokotów , 24 stycznia 2024,96.40 , 16908.71 ,False
Jelonki dwa oddzielne pokoje i oddzielna kuchnia balkon!,559000,Warszawa Bemowo , 15 stycznia 2024,41.43 , 13492.64 ,True
Mieszkanie 2 pokojowe 38m2,630000,Warszawa Targówek , 20 stycznia 2024,38 , 16578.95 ,True
48 m2 w samym sercu Warszawy,865000,Warszawa Wola , 26 stycznia 2024,47.86 , 18073.55 ,False
Bezpośrednio sprzedam Wilanów Zawady Zaściankowa,1210000,Warszawa Wilanów , 24 stycznia 2024,86.80 , 13940.09 ,False
Mieszkanie 2 pokoje 495m ostatnie p. z widokiem,969000,Warszawa Mokotów , 24 stycznia 2024,50 , 19380 ,False
Nowe - Wysoki Standard - 15 min Do Centrum,635000,Warszawa Włochy , 24 stycznia 2024,32 , 19843.75 ,False
Kawalerka/Centrum Warszawy/Kamienica,355000,Warszawa Ochota , 24 stycznia 2024,17.70 , 20056.5 ,False
Dwupokojowe mieszkanie ul. Wileńska w nowym budownictwie.,680000,Warszawa Praga Północ , 24 stycznia 2024,46.20 , 14718.61 ,True
Mieszkanie - Warszawa Praga-Południe Saska Kępa,565000,Warszawa Praga Południe , 24 stycznia 2024,27.83 , 20301.83 ,False
1-pokojowe mieszkanie 31m2 + balkon,898848,Warszawa Wola , 24 stycznia 2024,31.21 , 28800 ,False
Apartament w centrum Warszawy ul. Nowowiejska 5,1499000,Warszawa Śródmieście , 24 stycznia 2024,66.97 , 22383.16 ,False
Kawalerka oddzielna widna kuchnia piwnica 21m2,590000,Warszawa Praga Południe , 24 stycznia 2024,34 , 17352.94 ,False
5 pokoi na warszawskiej bliskiej Woli,949000,Warszawa Wola , 24 stycznia 2024,59.24 , 16019.58 ,False
Mieszkanie trzypokojowe Bemowo,970000,Warszawa Bemowo , 09 stycznia 2024,69.20 , 14017.34 ,True
BRÓDNO 3pok Okazja 921 tys. METRO,921600,Warszawa Targówek ,Dzisiaj,72 , 12800 ,False
METRO M2 Bemowo nowa kawalerka - autobus tramwaj,669000,Warszawa Bemowo ,Dzisiaj,27.70 , 24151.62 ,False
---> 2 pokoje na Gocławiu z loggią i widokiem,679000,Warszawa Praga Południe , 24 stycznia 2024,38 , 17868.42 ,False
2 pokoje Premium/ 19 Dzielnica,1299000,Warszawa Wola , 24 stycznia 2024,41.66 , 31180.99 ,False
Przytulne 3-pok mieszkanie 5min do metra faktura,1250000,Warszawa Wola , 24 stycznia 2024,59.60 , 20973.15 ,False
Rodzinnie spokojnie blisko metro,829000,Warszawa Bemowo , 24 stycznia 2024,78.80 , 10520.3 ,False
Inwestycyjne 3pok. /Metro / Plac Bankowy /parking,1159000,Warszawa Śródmieście , 24 stycznia 2024,63 , 18396.83 ,False
Mieszkanie przy metrze i Galerii Wileńskiej,595000,Warszawa Praga Północ , 24 stycznia 2024,30 , 19833.33 ,False
Wysoki standard | doskonałe jako inwestycja,955000,Warszawa Wola , 24 stycznia 2024,37.17 , 25692.76 ,False
2-pokojowe mieszkanie 43m2 + balkon Bez Prowizji,1148870,Warszawa Wola , 24 stycznia 2024,43.85 , 26200 ,False
Inwestycyjnie starówka kamienica,1399000,Warszawa Śródmieście , 24 stycznia 2024,57.58 , 24296.63 ,False
Mieszkanie 3 pokojowe 2020r Nowy Raków,995000,Warszawa Włochy , 24 stycznia 2024,54.37 , 18300.53 ,False
2pok | narożne | 2 balkony | garaż | metro,1025000,Warszawa Bielany , 24 stycznia 2024,53.75 , 19069.77 ,False
Okazja wynajęte kawalerki w centrum Warszawy,794600,Warszawa Śródmieście ,Dzisiaj,29.43 , 26999.66 ,True
Kawalerka z Aneksem Sypialnianym i z Ogrodkiem na Starych Wlochach,698000,Warszawa Włochy , 27 stycznia 2024,35 , 19942.86 ,False
Inwestycja nowe z pięknym widokiem,1129000,Warszawa Wola , 24 stycznia 2024,38 , 29710.53 ,False
Gotowe! W dobrej lokalizacji z ogródkiem!,690000,Warszawa Białołęka , 24 stycznia 2024,49.42 , 13961.96 ,False
Apartament 2 pokoje miasteczko Wilanów z garażem,949000,Warszawa Wilanów , 24 stycznia 2024,43.90 , 21617.31 ,False
Mieszkanie wykończone w Nowoczesnym minimalizmie,1400000,Warszawa Włochy , 24 stycznia 2024,56.34 , 24849.13 ,False
Mieszkanie dwupokojowe - Mokotów!,579999,Warszawa Mokotów , 24 stycznia 2024,37.20 , 15591.37 ,False
Mieszkanie 3 pok. 66m2 z oddzielną kuchnią!,949075.90,Warszawa Włochy , 24 stycznia 2024,66.23 , 14330 ,False
Mieszkanie 3:6 pokoi z dodatkowym poddaszem | C4,840840,Warszawa Wawer , 24 stycznia 2024,67.32 , 12490.2 ,False
Bezpośrednio kawalerka po remoncie,859990,Warszawa Śródmieście , 24 stycznia 2024,27 , 31851.48 ,False
Apartamenty Murano * gotowe ** ul.Pokorna * metro,1059000,Warszawa Śródmieście , 24 stycznia 2024,39.67 , 26695.24 ,False
Sprzedam mieszkanie ul Mozarta3,610000,Warszawa Mokotów , 24 stycznia 2024,34.40 , 17732.56 ,False
Kolska od NOWA - mieszkanie wsród zieleni na Woli,760000,Warszawa Wola , 26 stycznia 2024,31 , 24516.13 ,False
Służewiec. Metro Wilanowska. Apartamentowiec 40m2. OKAZJA,862762.32,Warszawa Mokotów ,Dzisiaj,40 , 21569.06 ,False
Unikatowy Penthause przy Głebockiej w Warszawie!!!,1800000,Warszawa Targówek , 11 stycznia 2024,116.59 , 15438.72 ,False
3pok dla rodziny|widna kuchnia|metro Młociny 10min,823000,Warszawa Białołęka , 22 stycznia 2024,67 , 12283.58 ,False
Bezpośrednio mieszkanie/kawalerka Unii Lubelskiej,910000,Warszawa Śródmieście , 22 stycznia 2024,30 , 30333.33 ,False
4pok w świetnej cenie|metro 10min|super dla rodzin,857000,Warszawa Białołęka , 22 stycznia 2024,68.59 , 12494.53 ,False
3 pokoje Ursus Skorosze BEZPOŚREDNIO,990000,Warszawa Ursus , 22 stycznia 2024,64 , 15468.75 ,False
Dwupokojowe mieszkanie na Woli do remontu,612000,Warszawa Wola , 22 stycznia 2024,35.28 , 17346.94 ,False
2 pokoje przy pl Teatralnym Warszawa Śródm.,912000,Warszawa Śródmieście , 22 stycznia 2024,52 , 17538.46 ,False
